,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Permission to Dance",BTS,319703,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
2,Butter,BTS,315990,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
3,Dynamite,BTS,241242,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
4,ドライフラワー,優里,231084,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J
5,"Cry Baby","Official HIGE DANdism",205472,https://open.spotify.com/track/7vBX6cVsCPFSx2C58hpZ4f
6,夜に駆ける,YOASOBI,198933,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
7,きらり,"Fujii Kaze",196922,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj
8,怪物,YOASOBI,193167,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi
9,三原色,YOASOBI,185295,https://open.spotify.com/track/3FUCuf498nFHJXFYR1V9Bd
10,U,"millennium parade",182751,https://open.spotify.com/track/32H7fwKsaYtSl6qiXFI6I6
11,群青,YOASOBI,176918,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk
12,勿忘,"Awesome City Club",168062,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h
13,踊,Ado,158227,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l
14,もう少しだけ,YOASOBI,144342,https://open.spotify.com/track/2pXmohBUnD5Li93sgpbPSg
15,シャッター,優里,142478,https://open.spotify.com/track/6VwpOZpqx8IqoF201VGAp8
16,"Stand by me, Stand by you.",HIRAIDAI,140460,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh
17,あいつら全員同窓会,ZUTOMAYO,139056,https://open.spotify.com/track/2VIK6jaaKghS4QPHr6sAkv
18,うっせぇわ,Ado,130517,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n
19,"Film out",BTS,128009,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
20,怪盗,"back number",127691,https://open.spotify.com/track/10Eyo4juZQFthKqlJgGMdp
21,"Pale Blue","Kenshi Yonezu",124989,https://open.spotify.com/track/52RfEh76AVKPwtUtTV9ufl
22,"Bluma to Lunch","BLOOM VASE",121950,https://open.spotify.com/track/3EYWY7XBj1BkCKX3R3hoZk
23,不思議,"Gen Hoshino",119468,https://open.spotify.com/track/6NKn02oJDkUkRa9IHbMe3n
24,アンコール,YOASOBI,117004,https://open.spotify.com/track/465JzFiajJO59sUrDFsxdC
25,ハルジオン,YOASOBI,115287,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv
26,虹,"Masaki Suda",114223,https://open.spotify.com/track/7AIj86wFWqm7X1TZ2hzHwS
27,ギラギラ,Ado,113733,https://open.spotify.com/track/7D7GCO3CtDT1WDcj2W5VDV
28,"Kaikai Kitan",Eve,112553,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos
29,春を告げる,yama,111302,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
30,猫,DISH//,110916,https://open.spotify.com/track/6sIx7Cn37DGEhjy9hBP8Gx
31,ハルカ,YOASOBI,110424,https://open.spotify.com/track/5D9MPWdY2hjSeTIGE5n5kv
32,napori,Vaundy,110172,https://open.spotify.com/track/5Ym4egUmT9wHEvZM2anGG8
33,Pretender,"Official HIGE DANdism",110097,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
34,裸の心,Aimyon,107943,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ
35,魔法の絨毯,"Takaya Kawasaki",107860,https://open.spotify.com/track/3PK5ERLCyMuQ5Cb89GbZVL
36,炎,LiSA,107678,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn
37,115万キロのフィルム,"Official HIGE DANdism",106949,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
38,かくれんぼ,優里,106059,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ
39,感電,"Kenshi Yonezu",105398,https://open.spotify.com/track/6H0PLsSYMzDOqhLgyOlzIj
40,点描の唄,"Mrs. GREEN APPLE",102765,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
41,不可幸力,Vaundy,101358,https://open.spotify.com/track/18nkY3pJTub8WwEGiQAGh4
42,"猫 〜THE FIRST TAKE ver.〜",DISH//,99770,https://open.spotify.com/track/25BJRpLBe3i6d8okphoRAm
43,"Walking with you",Novelbright,98387,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
44,"I Love...","Official HIGE DANdism",98118,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb
45,白日,"King Gnu",97177,https://open.spotify.com/track/172fMG26G2OoEzzg0wn26r
46,"Take a picture",NiziU,97026,https://open.spotify.com/track/0iEzzJ3zmNQqATy2MilumS
47,たぶん,YOASOBI,95715,https://open.spotify.com/track/398dL22bDbKbAmiOnPaq7o
48,桜が降る夜は,Aimyon,95013,https://open.spotify.com/track/1iEsGutpDvMJG0zYqoKKmQ
49,"Make you happy",NiziU,94661,https://open.spotify.com/track/1LnJVIG1BaHTRznuOgR0yc
50,恋人ごっこ,"Macaroni Empitsu",92506,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO
51,Buddy,HIRAIDAI,82822,https://open.spotify.com/track/7xfPyBgb9om8iUooItxHl8
52,CITRUS,Da-iCE,82072,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR
53,"Curtain Call","Shota Shimizu",80378,https://open.spotify.com/track/3JzAKk0CpUlgzS1mPqzBwk
54,花占い,Vaundy,78874,https://open.spotify.com/track/4X34YVOtNvldHeEt6aLYDW
55,"STAY (with Justin Bieber)","The Kid LAROI",74941,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
56,YOKAZE,"HENTAI SHINSHI CLUB",69262,https://open.spotify.com/track/6tkSMR8bEIfEcJn7ybJtSP
57,ツキミソウ,Novelbright,65905,https://open.spotify.com/track/6sElEqOIGENWjpxGFeo5ct
58,題名のない今日,HIRAIDAI,64304,https://open.spotify.com/track/6skNbV22epX2yHu4O2hYSx
59,"Perfect World",TWICE,61594,https://open.spotify.com/track/0iuZMy88H6vxDA2oaJNhJg
60,"Life Goes On",BTS,60809,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
61,"MIRROR MIRROR",HIRAIDAI,58905,https://open.spotify.com/track/0Sp31BXc9dedQnfKYCiojE
62,Mela!,"Ryokuoushoku Shakai",58759,https://open.spotify.com/track/6IO5nn84TKArsi3cjpIqaD
63,ピーターパン,優里,58298,https://open.spotify.com/track/0Ic9yiyHCoRCSvPoqTagat
64,"Boy With Luv (feat. Halsey)",BTS,56012,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
65,青と夏,"Mrs. GREEN APPLE",54953,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
66,マリーゴールド,Aimyon,52885,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
67,Renegades,"ONE OK ROCK",52324,https://open.spotify.com/track/3RpFwqdROrxJvHywpT1pJ4
68,怪獣の花唄,Vaundy,51543,https://open.spotify.com/track/4W29WmnGN1FlufURaBt8yw
69,"Our Style",WILYWNKA,51443,https://open.spotify.com/track/2r31qQymHkEhfXlaBewBNb
70,"Bad Habits","Ed Sheeran",51076,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
71,死神,"Kenshi Yonezu",49411,https://open.spotify.com/track/3tw4Jysd48kMcKsdnGYLee
72,グッバイ宣言,Chinozo,49081,https://open.spotify.com/track/2gbVuqze7bpndIy1q9rFvv
73,春泥棒,ヨルシカ,48653,https://open.spotify.com/track/1rr2DJOxV0sHXeUXCAz1yf
74,"Stay Gold",BTS,48297,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
75,優しい彗星,YOASOBI,46500,https://open.spotify.com/track/19fhOFi6pNGeZe5uiFlm7c
76,世界の秘密,Vaundy,46352,https://open.spotify.com/track/2T7ZvJAtL7xK04ww5rbmvo
77,ただ君に晴れ,ヨルシカ,46250,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
78,あの夢をなぞって,YOASOBI,46226,https://open.spotify.com/track/5ptl2PXkiSth54HCuGO7vN
79,紅蓮華,LiSA,45941,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
80,Alcohol-Free,TWICE,45425,https://open.spotify.com/track/3iPbmpKBMflYd7UjdYftoj
81,"snow jam",Rin音,45336,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
82,Lemon,"Kenshi Yonezu",44534,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6
83,シル・ヴ・プレジデント,P丸様｡,44172,https://open.spotify.com/track/0nW1Aes1arNyR1fzEKXS2m
84,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",43374,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
85,Answer,幾田りら,42989,https://open.spotify.com/track/5hVAQTNarrb3lmWqg9Ens4
86,インフェルノ,"Mrs. GREEN APPLE",41727,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
87,"Levitating (feat. DaBaby)","Dua Lipa",41248,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
88,歌よ,Belle,41131,https://open.spotify.com/track/5dy1QO156l2ct1MVPzc8px
89,夜のピエロ,Ado,40975,https://open.spotify.com/track/59bPgyrdKgjWkcjxcYoaox
90,分かってないよ,WurtS,40280,https://open.spotify.com/track/5wosJVYKzl3g7XElM98m23
