,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",6726013,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,Beggin',Måneskin,5831880,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",4811807,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
4,"good 4 u","Olivia Rodrigo",4803277,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
5,"Bad Habits","Ed Sheeran",4784605,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,"Happier Than Ever","Billie Eilish",4140378,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
7,"MONTERO (Call Me By Your Name)","Lil Nas X",3685851,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"Kiss Me More (feat. SZA)","Doja Cat",3590331,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
9,"Todo De Ti","Rauw Alejandro",3453682,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
10,Yonaguni,"Bad Bunny",3232007,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
11,"I WANNA BE YOUR SLAVE",Måneskin,3024591,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
12,"Qué Más Pues?","J Balvin",2904723,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
13,"Levitating (feat. DaBaby)","Dua Lipa",2791592,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,Pepas,Farruko,2687421,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
15,traitor,"Olivia Rodrigo",2573046,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
16,"Need To Know","Doja Cat",2552475,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
17,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2537760,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
18,"Permission to Dance",BTS,2479941,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
19,Butter,BTS,2379148,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
20,"AM Remix","Nio Garcia",2286893,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
21,"deja vu","Olivia Rodrigo",2230199,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
