Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1,STAY (with Justin Bieber),The Kid LAROI,6726013,'https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX',0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928, 'audio_features', '5PjdY0CKGZdEuoNab3yDmX', 'spotify:track:5PjdY0CKGZdEuoNab3yDmX', 'https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX', 'https://api.spotify.com/v1/audio-analysis/5PjdY0CKGZdEuoNab3yDmX',141806,4
2,Beggin',Maneskin,5831880,'https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e',0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002, 'audio_features', '3Wrjm47oTz2sjIgck11l5e', 'spotify:track:3Wrjm47oTz2sjIgck11l5e', 'https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e', 'https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e',211560,4
3,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,4811807,'https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK',0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995, 'audio_features', '27NovPIUIRrOZoCHxABJwK', 'spotify:track:27NovPIUIRrOZoCHxABJwK', 'https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK', 'https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK',212000,4
4,good 4 u,Olivia Rodrigo,4803277,'https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG',0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928, 'audio_features', '4ZtFanR9U6ndgddUvNcjcG', 'spotify:track:4ZtFanR9U6ndgddUvNcjcG', 'https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG', 'https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG',178147,4
5,Bad Habits,Ed Sheeran,4784605,'https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE',0.808,0.897,11,-3.712,0,0.0348,0.0469,0.0000314,0.364,0.591,126.026, 'audio_features', '6PQ88X9TkUIAUIZJHW2upE', 'spotify:track:6PQ88X9TkUIAUIZJHW2upE', 'https://api.spotify.com/v1/tracks/6PQ88X9TkUIAUIZJHW2upE', 'https://api.spotify.com/v1/audio-analysis/6PQ88X9TkUIAUIZJHW2upE',231041,4
6,Happier Than Ever,Billie Eilish,4140378,'https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8',0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055, 'audio_features', '4RVwu0g32PAqgUiJoXsdF8', 'spotify:track:4RVwu0g32PAqgUiJoXsdF8', 'https://api.spotify.com/v1/tracks/4RVwu0g32PAqgUiJoXsdF8', 'https://api.spotify.com/v1/audio-analysis/4RVwu0g32PAqgUiJoXsdF8',298899,3
7,MONTERO (Call Me By Your Name),Lil Nas X,3685851,'https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd',0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818, 'audio_features', '67BtfxlNbhBmCDR2L2l8qd', 'spotify:track:67BtfxlNbhBmCDR2L2l8qd', 'https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd', 'https://api.spotify.com/v1/audio-analysis/67BtfxlNbhBmCDR2L2l8qd',137876,4
8,Kiss Me More (feat. SZA),Doja Cat,3590331,'https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz',0.764,0.705,8,-3.463,1,0.0284,0.259,0.0000892,0.12,0.781,110.97, 'audio_features', '3DarAbFujv6eYNliUTyqtz', 'spotify:track:3DarAbFujv6eYNliUTyqtz', 'https://api.spotify.com/v1/tracks/3DarAbFujv6eYNliUTyqtz', 'https://api.spotify.com/v1/audio-analysis/3DarAbFujv6eYNliUTyqtz',208667,4
9,Todo De Ti,Rauw Alejandro,3453682,'https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9',0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962, 'audio_features', '5RwV8BvLfX5injfqYodke9', 'spotify:track:5RwV8BvLfX5injfqYodke9', 'https://api.spotify.com/v1/tracks/5RwV8BvLfX5injfqYodke9', 'https://api.spotify.com/v1/audio-analysis/5RwV8BvLfX5injfqYodke9',199604,4
10,Yonaguni,Bad Bunny,3232007,'https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS',0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,0.44,179.951, 'audio_features', '2JPLbjOn0wPCngEot2STUS', 'spotify:track:2JPLbjOn0wPCngEot2STUS', 'https://api.spotify.com/v1/tracks/2JPLbjOn0wPCngEot2STUS', 'https://api.spotify.com/v1/audio-analysis/2JPLbjOn0wPCngEot2STUS',206710,4
